word,kana,desc,tags
採用,さいよう,"use, adopt",JLPT_1
遮る,さえぎる,"to interrupt, to intercept, to obstruct",JLPT_1
さえずる,さえずる,"to sing, to chirp, to twitter",JLPT_1
冴える,さえる,"to be clear, to be bright, to be skillful",JLPT_1
竿,さお,"rod, pole (e.g., for drying laundry)",JLPT_1
栄える,さかえる,"to flourish, to prosper, to thrive",JLPT_1
差額,さがく,"balance, difference, margin",JLPT_1
杯,さかずき,wine cup,JLPT_1
逆立ち,さかだち,"handstand, headstand",JLPT_1
さきに (いぜん),さきに (いぜん),"before, earlier than, previously",JLPT_1
詐欺,さぎ,"fraud, swindle",JLPT_1
削減,さくげん,"cut, reduction",JLPT_1
錯誤,さくご,mistake,JLPT_1
作戦,さくせん,"military operations, tactics, strategy",JLPT_1
叫び,さけび,"shout, scream, outcry",JLPT_1
捧げる,ささげる,"to lift up, to give, to offer",JLPT_1
差し掛かる,さしかかる,"to come near to, to approach",JLPT_1
指図,さしず,"instruction, mandate",JLPT_1
差し出す,さしだす,"to present, to submit, to hold out",JLPT_1
差し支える,さしつかえる,"to interfere, to hinder",JLPT_1
授ける,さずける,"to grant, to award, to teach",JLPT_1
摩する,さする,"to rub, to stroke",JLPT_1
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",JLPT_1
定まる,さだまる,"to become settled, to be fixed",JLPT_1
定める,さだめる,"to decide, to determine",JLPT_1
座談会,ざだんかい,"symposium, round-table discussion",JLPT_1
雑,ざつ,"rough, crude",JLPT_1
雑貨,ざっか,"miscellaneous goods, general goods",JLPT_1
殺人,さつじん,murder,JLPT_1
察する,さっする,"to guess, to sense, to judge",JLPT_1
雑談,ざつだん,"chatting, idle talk",JLPT_1
さっと,さっと,"suddenly, smoothly",JLPT_1
さっぱりする,さっぱりする,to refresh,JLPT_1
悟る,さとる,"to attain enlightenment, to understand",JLPT_1
最中,さなか,"in the middle of, midst",JLPT_1
座標,ざひょう,coordinates,JLPT_1
さほど,さほど,"not so, not that much",JLPT_1
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,Genki_Ln.11 JLPT_1 Intermediate_Japanese_Ln.13
様,さま,state; way (a person does something); Mr. or Mrs.,JLPT_1 Intermediate_Japanese_Ln.11
寒気,さむけ,"chill, shiver, cold",JLPT_1
侍,さむらい,samurai,JLPT_1 Intermediate_Japanese_Ln.07
さも,さも,"with gusto, with satisfaction",JLPT_1
作用,さよう,"operation, effect, function",JLPT_1
さらう (こどもを～),さらう (こどもを～),to kidnap,JLPT_1
障る,さわる,"to hinder, to interfere with, to affect",JLPT_1
酸,さん,acid,JLPT_1
山岳,さんがく,mountains,JLPT_1
参議院,さんぎいん,House of Councilors,JLPT_1
産休,さんきゅう,maternity leave,JLPT_1
サンキュー,サンキュー,thank you,JLPT_1
残金,ざんきん,remaining money,JLPT_1
産後,さんご,"postpartum, after childbirth",JLPT_1
残酷,ざんこく,"cruelty, harshness",JLPT_1
産出,さんしゅつ,"yield, produce",JLPT_1
参照,さんしょう,"reference, consultation, consultation",JLPT_1
参上,さんじょう,"calling on, visiting",JLPT_1
残高,ざんだか,"(bank) balance, remainder",JLPT_1
サンタクロース,サンタクロース,Santa Claus,JLPT_1 Intermediate_Japanese_Ln.08
桟橋,さんばし,"wharf, jetty, pier",JLPT_1
賛美,さんび,"praise, adoration, glorification",JLPT_1
山腹,さんぷく,"hillside, mountainside",JLPT_1
産婦人科,さんふじんか,maternity and gynecology department,JLPT_1
産物,さんぶつ,"product, result, fruit",JLPT_1
山脈,さんみゃく,mountain range,JLPT_1
仕上がり,しあがり,"finish, end, completion",JLPT_1
仕上,しあげ,"end, finishing touches",JLPT_1
仕上げる,しあげる,"to finish up, to complete",JLPT_1
飼育,しいく,"breeding, raising, rearing",JLPT_1
強いて,しいて,"to dare, to insist",JLPT_1
シート,シート,seat; sheet,JLPT_1
ジーパン,ジーパン,jeans,JLPT_1
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",JLPT_1
強いる,しいる,"to force, to compel, to coerce",JLPT_1
潮,しお,tide,JLPT_1
歯科,しか,dentistry,JLPT_1
自我,じが,"self, ego",JLPT_1
自覚,じかく,self-conscious,JLPT_1
仕掛,しかけ,"device, trick, mechanism",JLPT_1
仕掛ける,しかける,"to lay, to set, to wage",JLPT_1
しかしながら,しかしながら,"however, nevertheless",JLPT_1
色彩,しきさい,color,JLPT_1
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)",JLPT_1
しきたり,しきたり,"custom, conventional practice, tradition",JLPT_1
事業,じぎょう,"project, enterprise, business",JLPT_1
軽蔑,けいべつ,"scorn, disdain",JLPT_1
経歴,けいれき,"personal history, career",JLPT_1
経路,けいろ,"course, route, channel",JLPT_1
けがらわしい,けがらわしい,"filthy, unfair",JLPT_1
劇団,げきだん,"troupe, theatrical company",JLPT_1
激励,げきれい,encouragement,JLPT_1
ゲスト,ゲスト,guest,JLPT_1
獣,けだもの,"beast, brute",JLPT_1
決,けつ,"decision, vote",JLPT_1
決意,けつい,"decision, determination",JLPT_1
結核,けっかく,tuberculosis,JLPT_1
決議,けつぎ,"resolution, vote, decision",JLPT_1
結合,けつごう,"combination, union",JLPT_1
決算,けっさん,"balance sheet, settlement of accounts",JLPT_1
月謝,げっしゃ,monthly tuition fee,JLPT_1
決勝,けっしょう,finals (in sports),JLPT_1
結晶,けっしょう,"crystal, crystallization",JLPT_1
結成,けっせい,formation,JLPT_1
結束,けっそく,"union, unity",JLPT_1
