一段动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
砕ける,くだける,"to be smashed, to be crushed",-,砕けない,砕けます,砕ける,砕ければ,砕けよう,砕けて,砕けた,砕けなかった,砕けなれる,砕けさせる,砕けられる,砕けろ
組み合わせる,くみあわせる,to combine,-,組み合わせない,組み合わせます,組み合わせる,組み合わせれば,組み合わせよう,組み合わせて,組み合わせた,組み合わせなかった,組み合わせなれる,組み合わせさせる,組み合わせられる,組み合わせろ
組み立てる,くみたてる,to assemble,-,組み立てない,組み立てます,組み立てる,組み立てれば,組み立てよう,組み立てて,組み立てた,組み立てなかった,組み立てなれる,組み立てさせる,組み立てられる,組み立てろ
比べる,くらべる,to compare,-,比べない,比べます,比べる,比べれば,比べよう,比べて,比べた,比べなかった,比べなれる,比べさせる,比べられる,比べろ
くれる,くれる,to give,-,くれない,くれます,くれる,くれれば,くれよう,くれて,くれた,くれなかった,くれなれる,くれさせる,くれられる,くれろ
暮れる,くれる,to get dark,-,暮れない,暮れます,暮れる,暮れれば,暮れよう,暮れて,暮れた,暮れなかった,暮れなれる,暮れさせる,暮れられる,暮れろ
苦しめる,くるしめる,"to torment, to torture",-,苦しめない,苦しめます,苦しめる,苦しめれば,苦しめよう,苦しめて,苦しめた,苦しめなかった,苦しめなれる,苦しめさせる,苦しめられる,苦しめろ
くたびれる,くたびれる,to be tired,-,くたびれない,くたびれます,くたびれる,くたびれれば,くたびれよう,くたびれて,くたびれた,くたびれなかった,くたびれなれる,くたびれさせる,くたびれられる,くたびれろ
加える,くわえる,"to add, to increase",-,加えない,加えます,加える,加えれば,加えよう,加えて,加えた,加えなかった,加えなれる,加えさせる,加えられる,加えろ
咥える,くわえる,to chewing,-,咥えない,咥えます,咥える,咥えれば,咥えよう,咥えて,咥えた,咥えなかった,咥えなれる,咥えさせる,咥えられる,咥えろ
崩れる,くずれる,to collapse,-,崩れない,崩れます,崩れる,崩れれば,崩れよう,崩れて,崩れた,崩れなかった,崩れなれる,崩れさせる,崩れられる,崩れろ
間違える,まちがえる,"to err, to make a mistake",-,間違えない,間違えます,間違える,間違えれば,間違えよう,間違えて,間違えた,間違えなかった,間違えなれる,間違えさせる,間違えられる,間違えろ
曲げる,まげる,to bend,-,曲げない,曲げます,曲げる,曲げれば,曲げよう,曲げて,曲げた,曲げなかった,曲げなれる,曲げさせる,曲げられる,曲げろ
任せる,まかせる,to entrust,-,任せない,任せます,任せる,任せれば,任せよう,任せて,任せた,任せなかった,任せなれる,任せさせる,任せられる,任せろ
負ける,まける,"to be defeated, to lose (a game)",-,負けない,負けます,負ける,負ければ,負けよう,負けて,負けた,負けなかった,負けなれる,負けさせる,負けられる,負けろ
まとめる,まとめる,"to put together, to unify",-,まとめない,まとめます,まとめる,まとめれば,まとめよう,まとめて,まとめた,まとめなかった,まとめなれる,まとめさせる,まとめられる,まとめろ
混ぜる,まぜる,"to mix, to blend",-,混ぜない,混ぜます,混ぜる,混ぜれば,混ぜよう,混ぜて,混ぜた,混ぜなかった,混ぜなれる,混ぜさせる,混ぜられる,混ぜろ
乱れる,みだれる,"to go out of order, to be corrupt",-,乱れない,乱れます,乱れる,乱れれば,乱れよう,乱れて,乱れた,乱れなかった,乱れなれる,乱れさせる,乱れられる,乱れろ
見える,みえる,"to be seen, to can see",-,見えない,見えます,見える,見えれば,見えよう,見えて,見えた,見えなかった,見えなれる,見えさせる,見えられる,見えろ
見る,みる,"to see, to look",-,見ない,見ます,見る,見れば,見よう,見て,見た,見なかった,見なれる,見させる,見られる,見ろ
見せる,みせる,to show,-,見せない,見せます,見せる,見せれば,見せよう,見せて,見せた,見せなかった,見せなれる,見せさせる,見せられる,見せろ
認める,みとめる,to approve,-,認めない,認めます,認める,認めれば,認めよう,認めて,認めた,認めなかった,認めなれる,認めさせる,認められる,認めろ
見付ける,みつける,"to find, to discover",-,見付けない,見付けます,見付ける,見付ければ,見付けよう,見付けて,見付けた,見付けなかった,見付けなれる,見付けさせる,見付けられる,見付けろ
燃える,もえる,to burn,-,燃えない,燃えます,燃える,燃えれば,燃えよう,燃えて,燃えた,燃えなかった,燃えなれる,燃えさせる,燃えられる,燃えろ
儲ける,もうける,"to earn, to make a profit",-,儲けない,儲けます,儲ける,儲ければ,儲けよう,儲けて,儲けた,儲けなかった,儲けなれる,儲けさせる,儲けられる,儲けろ
漏れる,もれる,to leak,-,漏れない,漏れます,漏れる,漏れれば,漏れよう,漏れて,漏れた,漏れなかった,漏れなれる,漏れさせる,漏れられる,漏れろ
持てる,もてる,to be popular with,-,持てない,持てます,持てる,持てれば,持てよう,持てて,持てた,持てなかった,持てなれる,持てさせる,持てられる,持てろ
求める,もとめる,"to demand, to request",-,求めない,求めます,求める,求めれば,求めよう,求めて,求めた,求めなかった,求めなれる,求めさせる,求められる,求めろ
向ける,むける,to turn (something) to,-,向けない,向けます,向ける,向ければ,向けよう,向けて,向けた,向けなかった,向けなれる,向けさせる,向けられる,向けろ
撫でる,なでる,to smooth down,-,撫でない,撫でます,撫でる,撫でれば,撫でよう,撫でて,撫でた,撫でなかった,撫でなれる,撫でさせる,撫でられる,撫でろ
流れる,ながれる,"to stream, to float",-,流れない,流れます,流れる,流れれば,流れよう,流れて,流れた,流れなかった,流れなれる,流れさせる,流れられる,流れろ
投げる,なげる,"to throw, to pitch",-,投げない,投げます,投げる,投げれば,投げよう,投げて,投げた,投げなかった,投げなれる,投げさせる,投げられる,投げろ
並べる,ならべる,"to put (things) in order, to display",-,並べない,並べます,並べる,並べれば,並べよう,並べて,並べた,並べなかった,並べなれる,並べさせる,並べられる,並べろ
慣れる,なれる,to get used to,-,慣れない,慣れます,慣れる,慣れれば,慣れよう,慣れて,慣れた,慣れなかった,慣れなれる,慣れさせる,慣れられる,慣れろ
ねじる,ねじる,"to twist, to wrench",-,ねじない,ねじます,ねじる,ねじれば,ねじよう,ねじて,ねじた,ねじなかった,ねじなれる,ねじさせる,ねじられる,ねじろ
寝る,ねる,"to sleep, to lie down",-,寝ない,寝ます,寝る,寝れば,寝よう,寝て,寝た,寝なかった,寝なれる,寝させる,寝られる,寝ろ
逃げる,にげる,"to flee, to escape",-,逃げない,逃げます,逃げる,逃げれば,逃げよう,逃げて,逃げた,逃げなかった,逃げなれる,逃げさせる,逃げられる,逃げろ
煮る,にる,to boil,-,煮ない,煮ます,煮る,煮れば,煮よう,煮て,煮た,煮なかった,煮なれる,煮させる,煮られる,煮ろ
似る,にる,"to resemble, to look like",-,似ない,似ます,似る,似れば,似よう,似て,似た,似なかった,似なれる,似させる,似られる,似ろ
延びる,のびる,to be postponed,-,延びない,延びます,延びる,延びれば,延びよう,延びて,延びた,延びなかった,延びなれる,延びさせる,延びられる,延びろ
伸びる,のびる,"to extend, to lengthen",-,伸びない,伸びます,伸びる,伸びれば,伸びよう,伸びて,伸びた,伸びなかった,伸びなれる,伸びさせる,伸びられる,伸びろ
乗り換える,のりかえる,to change (trains),-,乗り換えない,乗り換えます,乗り換える,乗り換えれば,乗り換えよう,乗り換えて,乗り換えた,乗り換えなかった,乗り換えなれる,乗り換えさせる,乗り換えられる,乗り換えろ
載せる,のせる,"to publish, to print",-,載せない,載せます,載せる,載せれば,載せよう,載せて,載せた,載せなかった,載せなれる,載せさせる,載せられる,載せろ
濡れる,ぬれる,to get wet,-,濡れない,濡れます,濡れる,濡れれば,濡れよう,濡れて,濡れた,濡れなかった,濡れなれる,濡れさせる,濡れられる,濡れろ
怯える,おびえる,"to be frightened, to be sacred",-,怯えない,怯えます,怯える,怯えれば,怯えよう,怯えて,怯えた,怯えなかった,怯えなれる,怯えさせる,怯えられる,怯えろ
覚える,おぼえる,"to memorize, to learn",-,覚えない,覚えます,覚える,覚えれば,覚えよう,覚えて,覚えた,覚えなかった,覚えなれる,覚えさせる,覚えられる,覚えろ
落ちる,おちる,to fall,-,落ちない,落ちます,落ちる,落ちれば,落ちよう,落ちて,落ちた,落ちなかった,落ちなれる,落ちさせる,落ちられる,落ちろ
追いかける,おいかける,"to chase, to run after",-,追いかけない,追いかけます,追いかける,追いかければ,追いかけよう,追いかけて,追いかけた,追いかけなかった,追いかけなれる,追いかけさせる,追いかけられる,追いかけろ
起きる,おきる,"to get up, to wake up",-,起きない,起きます,起きる,起きれば,起きよう,起きて,起きた,起きなかった,起きなれる,起きさせる,起きられる,起きろ
遅れる,おくれる,"to be late, to be behind",-,遅れない,遅れます,遅れる,遅れれば,遅れよう,遅れて,遅れた,遅れなかった,遅れなれる,遅れさせる,遅れられる,遅れろ
折れる,おれる,"to break, to bend",-,折れない,折れます,折れる,折れれば,折れよう,折れて,折れた,折れなかった,折れなれる,折れさせる,折れられる,折れろ
降りる,おりる,"to descend, to get off",-,降りない,降ります,降りる,降りれば,降りよう,降りて,降りた,降りなかった,降りなれる,降りさせる,降りられる,降りろ
下りる,おりる,to go down,-,下りない,下ります,下りる,下りれば,下りよう,下りて,下りた,下りなかった,下りなれる,下りさせる,下りられる,下りろ
抑える,おさえる,to suppress,-,抑えない,抑えます,抑える,抑えれば,抑えよう,抑えて,抑えた,抑えなかった,抑えなれる,抑えさせる,抑えられる,抑えろ
治める,おさめる,to govern,-,治めない,治めます,治める,治めれば,治めよう,治めて,治めた,治めなかった,治めなれる,治めさせる,治められる,治めろ
教える,おしえる,"to teach, to tell",-,教えない,教えます,教える,教えれば,教えよう,教えて,教えた,教えなかった,教えなれる,教えさせる,教えられる,教えろ
錆びる,さびる,to get rusty,-,錆びない,錆びます,錆びる,錆びれば,錆びよう,錆びて,錆びた,錆びなかった,錆びなれる,錆びさせる,錆びられる,錆びろ
下げる,さげる,"to lower, to hang",-,下げない,下げます,下げる,下げれば,下げよう,下げて,下げた,下げなかった,下げなれる,下げさせる,下げられる,下げろ
栄える,さかえる,"to flourish, to prosper",-,栄えない,栄えます,栄える,栄えれば,栄えよう,栄えて,栄えた,栄えなかった,栄えなれる,栄えさせる,栄えられる,栄えろ
裂ける,さける,"to tear, to split",-,裂けない,裂けます,裂ける,裂ければ,裂けよう,裂けて,裂けた,裂けなかった,裂けなれる,裂けさせる,裂けられる,裂けろ
避ける,さける,to avoid,-,避けない,避けます,避ける,避ければ,避けよう,避けて,避けた,避けなかった,避けなれる,避けさせる,避けられる,避けろ
支える,ささえる,"to support, to prop up",-,支えない,支えます,支える,支えれば,支えよう,支えて,支えた,支えなかった,支えなれる,支えさせる,支えられる,支えろ
攻める,せめる,to attack,-,攻めない,攻めます,攻める,攻めれば,攻めよう,攻めて,攻めた,攻めなかった,攻めなれる,攻めさせる,攻められる,攻めろ
責める,せめる,to blame,-,責めない,責めます,責める,責めれば,責めよう,責めて,責めた,責めなかった,責めなれる,責めさせる,責められる,責めろ
痺れる,しびれる,to become numb,-,痺れない,痺れます,痺れる,痺れれば,痺れよう,痺れて,痺れた,痺れなかった,痺れなれる,痺れさせる,痺れられる,痺れろ
仕入れる,しいれる,to stock,-,仕入れない,仕入れます,仕入れる,仕入れれば,仕入れよう,仕入れて,仕入れた,仕入れなかった,仕入れなれる,仕入れさせる,仕入れられる,仕入れろ
閉める,しめる,to close,-,閉めない,閉めます,閉める,閉めれば,閉めよう,閉めて,閉めた,閉めなかった,閉めなれる,閉めさせる,閉められる,閉めろ
締める,しめる,"to tie, to fasten",-,締めない,締めます,締める,締めれば,締めよう,締めて,締めた,締めなかった,締めなれる,締めさせる,締められる,締めろ
染みる,しみる,to penetrate,-,染みない,染みます,染みる,染みれば,染みよう,染みて,染みた,染みなかった,染みなれる,染みさせる,染みられる,染みろ
信じる,しんじる,to believe,-,信じない,信じます,信じる,信じれば,信じよう,信じて,信じた,信じなかった,信じなれる,信じさせる,信じられる,信じろ
調べる,しらべる,"to check, to investigate",-,調べない,調べます,調べる,調べれば,調べよう,調べて,調べた,調べなかった,調べなれる,調べさせる,調べられる,調べろ
