不规则动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
返品する,へんぴんする,to return goods,-,返品しない,返品します,返品する,返品すれば,返品しよう,返品して,返品した,返品しなかった,返品される,返品させる,返品できる,返品しろ
ヘルプする,ヘルプする,to help,-,ヘルプしない,ヘルプします,ヘルプする,ヘルプすれば,ヘルプしよう,ヘルプして,ヘルプした,ヘルプしなかった,ヘルプされる,ヘルプさせる,ヘルプできる,ヘルプしろ
批判する,ひはんする,to criticize,-,批判しない,批判します,批判する,批判すれば,批判しよう,批判して,批判した,批判しなかった,批判される,批判させる,批判できる,批判しろ
批評する,ひひょうする,to criticize,-,批評しない,批評します,批評する,批評すれば,批評しよう,批評して,批評した,批評しなかった,批評される,批評させる,批評できる,批評しろ
否定する,ひていする,to deny,-,否定しない,否定します,否定する,否定すれば,否定しよう,否定して,否定した,否定しなかった,否定される,否定させる,否定できる,否定しろ
報告する,ほうこくする,to report,-,報告しない,報告します,報告する,報告すれば,報告しよう,報告して,報告した,報告しなかった,報告される,報告させる,報告できる,報告しろ
訪問する,ほうもんする,to visit,-,訪問しない,訪問します,訪問する,訪問すれば,訪問しよう,訪問して,訪問した,訪問しなかった,訪問される,訪問させる,訪問できる,訪問しろ
翻訳する,ほんやくする,to translate,-,翻訳しない,翻訳します,翻訳する,翻訳すれば,翻訳しよう,翻訳して,翻訳した,翻訳しなかった,翻訳される,翻訳させる,翻訳できる,翻訳しろ
保証する,ほしょうする,"to gurantee, to pledge",-,保証しない,保証します,保証する,保証すれば,保証しよう,保証して,保証した,保証しなかった,保証される,保証させる,保証できる,保証しろ
放送する,ほうそうする,to broadcast,-,放送しない,放送します,放送する,放送すれば,放送しよう,放送して,放送した,放送しなかった,放送される,放送させる,放送できる,放送しろ
保存する,ほぞんする,to preserve,-,保存しない,保存します,保存する,保存すれば,保存しよう,保存して,保存した,保存しなかった,保存される,保存させる,保存できる,保存しろ
一位する,いちいする,to be located,-,一位しない,一位します,一位する,一位すれば,一位しよう,一位して,一位した,一位しなかった,一位される,一位させる,一位できる,一位しろ
移動する,いどうする,to move,-,移動しない,移動します,移動する,移動すれば,移動しよう,移動して,移動した,移動しなかった,移動される,移動させる,移動できる,移動しろ
違反する,いはんする,to violate,-,違反しない,違反します,違反する,違反すれば,違反しよう,違反して,違反した,違反しなかった,違反される,違反させる,違反できる,違反しろ
維持する,いじする,to maintain,-,維持しない,維持します,維持する,維持すれば,維持しよう,維持して,維持した,維持しなかった,維持される,維持させる,維持できる,維持しろ
印刷する,いんさつする,to print,-,印刷しない,印刷します,印刷する,印刷すれば,印刷しよう,印刷して,印刷した,印刷しなかった,印刷される,印刷させる,印刷できる,印刷しろ
インタビューする,インタビューする,to interview,-,インタビューしない,インタビューします,インタビューする,インタビューすれば,インタビューしよう,インタビューして,インタビューした,インタビューしなかった,インタビューされる,インタビューさせる,インタビューできる,インタビューしろ
引退する,いんたいする,to retire,-,引退しない,引退します,引退する,引退すれば,引退しよう,引退して,引退した,引退しなかった,引退される,引退させる,引退できる,引退しろ
依頼する,いらいする,to request,-,依頼しない,依頼します,依頼する,依頼すれば,依頼しよう,依頼して,依頼した,依頼しなかった,依頼される,依頼させる,依頼できる,依頼しろ
